source,url,title,total_time,thumbnail_present,raw_ingredient,ingredient_name,normalized_name,quantity,unit,status,error
twoplaidaprons,https://twoplaidaprons.com/10-minute-sesame-noodles/,,,,,,,,,error,"1 validation error for IngredientData
quantity
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='⅛', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/float_parsing"
twoplaidaprons,https://twoplaidaprons.com/2-ingredients-condensed-milk-truffles/,2 Ingredient Chocolate Truffles (Dairy Free),130.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 330 gram sweetened condensed coconut milk or regular condensed milk (usually 1 can, but each brand can differ)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">330</span> <span class=""wprm-recipe-ingredient-unit"">gram</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3rfzMvy"" rel=""nofollow noreferrer"" target=""_blank"">sweetened condensed coconut milk</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or regular condensed milk (usually 1 can, but each brand can differ)</span></li>",sweetened condensed coconut milk,sweetened condensed coconut milk,330.0,gram,ok,
twoplaidaprons,https://twoplaidaprons.com/2-ingredients-condensed-milk-truffles/,2 Ingredient Chocolate Truffles (Dairy Free),130.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 120 gram cocoa powder or 1¼ cup packed"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">120</span> <span class=""wprm-recipe-ingredient-unit"">gram</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3hO2u1I"" rel=""nofollow noreferrer"" target=""_blank"">cocoa powder</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or 1¼ cup packed</span></li>",cocoa powder,cocoa powder,120.0,gram,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-corn-tortillas/,3 Ingredient Homemade Corn Tortillas,35.0,True,"<li class=""wprm-recipe-ingredient"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1½ cup, packed masa flour ( we recommend Maseca brand)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1½</span> <span class=""wprm-recipe-ingredient-unit"">cup, packed</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3fy0Hfa"" rel=""nofollow noreferrer"" target=""_blank"">masa flour</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">( we recommend Maseca brand)</span></li>",masa flour,masa flour,1.5,"cup, packed",ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-corn-tortillas/,3 Ingredient Homemade Corn Tortillas,35.0,True,"<li class=""wprm-recipe-ingredient"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1½ cup warm water (or as needed)"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1½</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name"">warm water</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(or as needed)</span></li>",warm water,water,1.5,cup,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-corn-tortillas/,3 Ingredient Homemade Corn Tortillas,35.0,True,"<li class=""wprm-recipe-ingredient"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ teaspoon salt"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">salt</span></li>",salt,salt,0.5,teaspoon,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-matcha-ice-cream/,"3-Ingredient Matcha Ice Cream (dairy-free, vegan and no-churn)",195.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 Tablespoon culinary grade matcha  , or more if a stronger matcha flavor is desired (preferably ceremonial grade matcha)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">Tablespoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3fe8K0A"" rel=""nofollow noreferrer"" target=""_blank"">culinary grade matcha</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded""> , or more if a stronger matcha flavor is desired (preferably ceremonial grade matcha)</span></li>",culinary grade matcha,culinary grade matcha,3.0,Tablespoon,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-matcha-ice-cream/,"3-Ingredient Matcha Ice Cream (dairy-free, vegan and no-churn)",195.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 can sweetened condensed coconut milk , or 11.6 fl. oz."" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">can</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3rfzMvy"" rel=""nofollow noreferrer"" target=""_blank"">sweetened condensed coconut milk</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">, or 11.6 fl. oz.</span></li>",sweetened condensed coconut milk,sweetened condensed coconut milk,1.0,can,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-matcha-ice-cream/,"3-Ingredient Matcha Ice Cream (dairy-free, vegan and no-churn)",195.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 can coconut cream , or 17.8 fl. oz. (highly recommend Savoy brand)"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">can</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/36Xv5NX"" rel=""nofollow noreferrer"" target=""_blank"">coconut cream</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">, or 17.8 fl. oz. (highly recommend Savoy brand)</span></li>",coconut cream,coconut cream,1.0,can,ok,
twoplaidaprons,https://twoplaidaprons.com/3-ingredient-matcha-ice-cream/,"3-Ingredient Matcha Ice Cream (dairy-free, vegan and no-churn)",195.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Pinch of salt (optional but highly recommended)"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Pinch of salt</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(optional but highly recommended)</span></li>",Pinch of salt,salt,,,ok,
twoplaidaprons,https://twoplaidaprons.com/4-ingredient-flatbread/,,,,,,,,,error,"1 validation error for IngredientData
quantity
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='¾', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/float_parsing"
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-karaage/,,,,,,,,,error,"1 validation error for IngredientData
quantity
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='¾', input_type=str]
    For further information visit https://errors.pydantic.dev/2.13/v/float_parsing"
twoplaidaprons,https://twoplaidaprons.com/air-fryer-chicken-katsu/,Air Fryer Chicken Katsu,24.0,True,"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 skinless boneless chicken breast (about 11.5 oz/ 326g) if your chicken breasts are smaller, you can use two chicken breasts and skip the cutting"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-name"">skinless boneless chicken breast</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(about 11.5 oz/ 326g) if your chicken breasts are smaller, you can use two chicken breasts and skip the cutting</span></li>",skinless boneless chicken breast,skinless boneless chicken breast,1.0,,ok,
