input_html,quantity,unit,name,normalized_name
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 4 ounces fresh cut noodles more or less to your preference"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">4</span> <span class=""wprm-recipe-ingredient-unit"">ounces</span> <span class=""wprm-recipe-ingredient-name"">fresh cut noodles</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">more or less to your preference</span></li>",4.0,ounces,fresh cut noodles,noodles
"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 tablespoons Chinese sesame paste"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3Awz2Ya"" rel=""nofollow noreferrer"" target=""_blank"">Chinese sesame paste</a></span></li>",2.0,tablespoons,Chinese sesame paste,chinese sesame paste
"<li class=""wprm-recipe-ingredient"" data-uid=""7"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon Chinese black vinegar"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3M7Vw69"" rel=""nofollow noreferrer"" target=""_blank"">Chinese black vinegar</a></span></li>",1.0,tablespoon,Chinese black vinegar,chinese vinegar
"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon soy sauce light sodium"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3822TY0"" rel=""nofollow noreferrer"" target=""_blank"">soy sauce</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">light sodium</span></li>",1.0,teaspoon,soy sauce,soy sauce
"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon toasted sesame oil"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/2TeNpL8"" rel=""nofollow noreferrer"" target=""_blank"">toasted sesame oil</a></span></li>",1.0,teaspoon,toasted sesame oil,toasted sesame oil
"<li class=""wprm-recipe-ingredient"" data-uid=""8"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon granulated sugar"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3IEdexr"" rel=""nofollow noreferrer"" target=""_blank"">granulated sugar</a></span></li>",1.0,teaspoon,granulated sugar,sugar
"<li class=""wprm-recipe-ingredient"" data-uid=""9"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼ teaspoon salt"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">salt</span></li>",0.25,teaspoon,salt,salt
"<li class=""wprm-recipe-ingredient"" data-uid=""5"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ⅛ teaspoon ground Sichuan peppercorn or to your preference"" class=""wprm-checkbox"" id=""wprm-checkbox-7"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-7""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">⅛</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3GEADfR"" rel=""nofollow noreferrer"" target=""_blank"">ground Sichuan peppercorn</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or to your preference</span></li>",0.125,teaspoon,ground Sichuan peppercorn,sichuan peppercorn
"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon water"" class=""wprm-checkbox"" id=""wprm-checkbox-8"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-8""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name"">water</span></li>",1.0,tablespoon,water,water
"<li class=""wprm-recipe-ingredient"" data-uid=""12"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 clove garlic minced"" class=""wprm-checkbox"" id=""wprm-checkbox-9"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-9""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">clove</span> <span class=""wprm-recipe-ingredient-name"">garlic</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">minced</span></li>",1.0,clove,garlic,garlic
"<li class=""wprm-recipe-ingredient"" data-uid=""17"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Chili oil"" class=""wprm-checkbox"" id=""wprm-checkbox-10"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-10""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://twoplaidaprons.com/homemade-chinese-chili-oil/"" rel=""nofollow"" target=""_blank"">Chili oil</a></span></li>",,,Chili oil,chili oil
"<li class=""wprm-recipe-ingredient"" data-uid=""11"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" English cucumber julienned/shredded"" class=""wprm-checkbox"" id=""wprm-checkbox-11"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-11""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">English cucumber</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">julienned/shredded</span></li>",,,English cucumber,english cucumber
"<li class=""wprm-recipe-ingredient"" data-uid=""14"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Cilantro chopped"" class=""wprm-checkbox"" id=""wprm-checkbox-12"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-12""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Cilantro</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">chopped</span></li>",,,Cilantro,cilantro
"<li class=""wprm-recipe-ingredient"" data-uid=""15"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Green onion thinly sliced"" class=""wprm-checkbox"" id=""wprm-checkbox-13"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-13""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Green onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">thinly sliced</span></li>",,,Green onion,green onion
"<li class=""wprm-recipe-ingredient"" data-uid=""16"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Crushed peanut"" class=""wprm-checkbox"" id=""wprm-checkbox-14"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-14""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Crushed peanut</span></li>",,,Crushed peanut,peanut
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 330 gram sweetened condensed coconut milk or regular condensed milk (usually 1 can, but each brand can differ)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">330</span> <span class=""wprm-recipe-ingredient-unit"">gram</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3rfzMvy"" rel=""nofollow noreferrer"" target=""_blank"">sweetened condensed coconut milk</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or regular condensed milk (usually 1 can, but each brand can differ)</span></li>",330.0,gram,sweetened condensed coconut milk,sweetened condensed coconut milk
"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 120 gram cocoa powder or 1¼ cup packed"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">120</span> <span class=""wprm-recipe-ingredient-unit"">gram</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3hO2u1I"" rel=""nofollow noreferrer"" target=""_blank"">cocoa powder</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or 1¼ cup packed</span></li>",120.0,gram,cocoa powder,cocoa powder
"<li class=""wprm-recipe-ingredient"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1½ cup, packed masa flour ( we recommend Maseca brand)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1½</span> <span class=""wprm-recipe-ingredient-unit"">cup, packed</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3fy0Hfa"" rel=""nofollow noreferrer"" target=""_blank"">masa flour</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">( we recommend Maseca brand)</span></li>",1.5,"cup, packed",masa flour,masa flour
"<li class=""wprm-recipe-ingredient"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1½ cup warm water (or as needed)"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1½</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name"">warm water</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(or as needed)</span></li>",1.5,cup,warm water,water
